topic,name,n_candidates,r_vs_llm_gap_150,r_vs_truth_gap_150,ws2_distance_validity_910
100,retweet-content,138,0.8727732539759734,0.8539033855100794,0.8492
0,healthcare,75,0.6428276621640013,0.6451259969723876,0.5731
1,abortion,48,0.6399532554047009,0.629583323876818,0.5506
2,guns,46,0.6412560047324566,0.5894109877881877,0.5248
3,crime-policing,58,0.5013867438734064,0.504473406516934,0.4739
5,taxes-spending,72,0.48966307786325913,0.48681975555874757,0.4475
9,education-schools,78,0.49151286327224947,0.46095886343999204,0.3662
4,immigration-border,79,0.40187501573158785,0.35002535316203487,0.3658
6,workers-wages,39,0.3756937093661275,0.4328911940940236,0.3551
8,energy-climate,67,0.4323812636940178,0.4198374510703041,0.345
14,democracy-reform,70,0.3112235429628446,0.3491991093822324,0.279
12,foreign-policy,89,0.20867890647162493,0.24402487442314746,0.2261
20,campaign-process,117,0.0011881289615735886,-0.011946186352815392,0.0044
