row_idx,tweet_id,text,half
79245,T0079246,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.,H1
54663,T0054664,Gun violence is a public health crisis. Prevention works — I've seen it in Greenville.,H1
84219,T0084220,Rode along with Riverton officers last night. Grateful for what they do every shift.,H1
39755,T0039756,Gun violence is a public health crisis. Prevention works — I've seen it in Cedar Falls.,H1
92897,T0092898,Inflation is a tax on every family. Washington's reckless spending has to stop.,H1
94385,T0094386,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time.",H1
53926,T0053927,RT @BorderWatchNet: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
91120,T0091121,"Lower taxes, less government, more freedom. That's how we get FL's economy roaring again.",H1
99485,T0099486,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.,H1
83993,T0083994,RT @TheDailyLedgerUS: Turnout in this week's primaries beat 2018 levels in most counties.,H1
94312,T0094313,"Clean energy jobs are the future, and AZ can lead. I'll fight for wind, solar, and battery manufacturing here at home.",H1
57055,T0057056,"Every kid in MN deserves a great public school — fully funded, with teachers paid what they're worth.",H1
16050,T0016051,Our kids practice lockdown drills while Congress practices excuses. Enough. Pass red flag laws.,H1
89022,T0089023,Election integrity matters. Voter ID is common sense and most Americans agree.,H1
14576,T0014577,Our immigration system has been broken for decades. Both parties share the blame — WA deserves solutions.,H1
14625,T0014626,Met with law enforcement and community leaders in Fairview about keeping our neighborhoods safe.,H1
89457,T0089458,Our immigration system has been broken for decades. Both parties share the blame — FL deserves solutions.,H1
40232,T0040233,RT @VotingRightsWatch: This map of clean-energy job growth should be front-page news.,H1
45578,T0045579,"Family separation is a moral stain. We need humane, orderly immigration reform — not cruelty as policy.",H1
48312,T0048313,RT @CarePolicyProject: Turnout in this week's primaries beat 2018 levels in most counties.,H1
23054,T0023055,Met with law enforcement and community leaders in Millbrook about keeping our neighborhoods safe.,H1
102418,T0102419,We must balance the budget like every family in RI has to. No more blank checks.,H1
78818,T0078819,RT @TaxpayersFirstOrg: Turnout in this week's primaries beat 2018 levels in most counties.,H1
100301,T0100302,RT @CleanAirCoalition: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
34814,T0034815,"I'll always back the blue. Our officers in MI deserve support, not defunding.",H1
100910,T0100911,The radical Green agenda would crush RI jobs and spike your electric bill. I'll stop it.,H1
80624,T0080625,Early voting starts soon in MI. Make your plan now — every single vote counts.,H1
92046,T0092047,Gun violence is a public health crisis. Prevention works — I've seen it in Lakewood.,H1
25833,T0025834,Stopped by Georgetown Elementary today. Our teachers are heroes — period.,H1
43106,T0043107,"Every family in TX deserves access to quality, affordable care. Full stop.",H1
2231,T0002232,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,H1
86634,T0086635,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
13856,T0013857,Universal background checks are supported by most gun owners. Congress's inaction is a choice — I'll make a different one.,H1
53097,T0053098,"Family separation is a moral stain. We need humane, orderly immigration reform — not cruelty as policy.",H1
79161,T0079162,Healthcare is a human right. No one in PA should go bankrupt because they got sick.,H1
22700,T0022701,Talked supply chains and manufacturing with workers at the plant in Springdale this morning.,H1
57960,T0057961,We can protect people with pre-existing conditions without a big-government takeover of medicine.,H1
23144,T0023145,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,H1
56550,T0056551,Yard signs are IN. Swing by the Dover Plains office and grab one this weekend!,H1
79288,T0079289,RT @PublicSquareNews: This map of clean-energy job growth should be front-page news.,H1
38336,T0038337,Our immigration system has been broken for decades. Both parties share the blame — NC deserves solutions.,H1
83442,T0083443,RT @GreenFutureFund: Turnout in this week's primaries beat 2018 levels in most counties.,H1
47310,T0047311,Dark money is drowning out MA voices. I support full disclosure of every political dollar.,H1
84347,T0084348,"We just crossed 20,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",H1
4625,T0004626,"New endorsement dropping tomorrow morning. Stay tuned, MO!",H1
60716,T0060717,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time.",H1
69130,T0069131,This issue is deeply personal for families across NV. I'll always listen first.,H1
60397,T0060398,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.,H1
65044,T0065045,I will vote to restore Roe's protections nationwide. TX women deserve nothing less.,H1
100961,T0100962,RT @LibertyLedger: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
