pc,r_retweet_share,r_log_volume,r_topic_entropy,r_party_pb,style_axis
1,-0.9681541241529491,-0.0044569534236967,-0.022234846578323912,0.07288679583386937,True
2,-0.1373888456359504,-0.03405136194761225,0.0818626630712368,-0.8759435780467136,False
3,-0.037441836564473155,-0.016405807431586622,0.30938205527643964,0.16376387984652144,False
4,-0.037325528360159385,-0.0654742279186085,0.31711891990297963,-0.08273229805706289,False
5,-0.03861788675069747,-0.06172617147847592,0.04143178384590265,0.0381899153076416,False
6,0.0005358693586088858,-0.02124319302303216,0.018725244192883655,-0.03807041736690661,False
7,0.025650015322859793,0.09127488884286507,-0.058021276473817225,0.16113375844938246,False
8,0.059382259295296544,-0.011666388168040949,-0.15025916591555952,0.012269594602665692,False
9,0.018504483067110927,0.03653099349459837,0.032201205810172835,0.018399885126282423,False
10,0.042078996344018404,-0.06364053127138009,-0.0435876074450675,0.022723298025244833,False
