item_id,candidate_id,tweet_id,text,score
TC006200,C0062,T0074436,Turnout in this week's primaries beat 2018 levels in most counties.,0.0
TC006201,C0062,T0056741,Good jobs and a fair shot — that's what this campaign is about for CA.,-0.2
TC006202,C0062,T0058997,"Happy Fourth of July from our family to yours, CA!",0.0
TC006203,C0062,T0087553,Sanctuary policies put CA communities at risk. I'll end them.,0.7
TC006204,C0062,T0027287,Sanctuary policies put CA communities at risk. I'll end them.,0.7
TC006205,C0062,T0033450,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,0.55
TC006206,C0062,T0095823,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.55
TC006207,C0062,T0070834,"Phone bank tonight at 7pm! Grab a coffee and join us — training provided, no experience needed.",0.0
TC006208,C0062,T0019101,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.,0.0
TC006209,C0062,T0010168,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.,0.0
TC006210,C0062,T0086310,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,0.6
TC006211,C0062,T0079739,"Illegal immigration drives down wages for CA workers. Enforce the law, protect American jobs.",0.7
TC006212,C0062,T0044242,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,0.0
TC006213,C0062,T0053019,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC006214,C0062,T0100222,Inflation is a tax on every family. Washington's reckless spending has to stop.,0.65
TC006215,C0062,T0060353,Border crossings surge again — where is the accountability?,0.65
TC006216,C0062,T0022887,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.6
TC006217,C0062,T0061396,Join us Saturday at 10am for a town hall in Millbrook! Doors open early — bring your questions.,0.0
TC006218,C0062,T0006250,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.,0.85
TC006219,C0062,T0051792,Debate night. Watch live at 7pm and see the contrast for yourself.,0.0
TC006220,C0062,T0074551,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.6
TC006221,C0062,T0077786,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.55
TC006222,C0062,T0064655,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC006223,C0062,T0057583,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,0.7
TC006224,C0062,T0091941,Turnout in this week's primaries beat 2018 levels in most counties.,0.0
TC007200,C0072,T0025090,Met with local business owners in Georgetown today about what they need to grow and hire.,0.0
TC007201,C0072,T0074641,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.,0.0
TC007202,C0072,T0081157,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,0.6
TC007203,C0072,T0041155,Toured the new energy facility in Dover Plains today. CA workers are second to none.,0.0
TC007204,C0072,T0079307,I am proudly pro-life and will always defend the unborn.,0.85
TC007205,C0072,T0006454,Peace through strength. A strong military is the best guarantee our enemies stay in check.,0.6
TC007206,C0072,T0103014,Border crossings surge again — where is the accountability?,0.65
TC007207,C0072,T0075585,Rode along with Harrisburg officers last night. Grateful for what they do every shift.,0.2
TC007208,C0072,T0048227,I am proudly pro-life and will always defend the unborn.,0.85
TC007209,C0072,T0072226,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC007210,C0072,T0083781,Turnout in this week's primaries beat 2018 levels in most counties.,0.0
TC007211,C0072,T0009850,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC007212,C0072,T0089528,Stopped by Riverton Elementary today. Our teachers are heroes — period.,-0.15
TC007213,C0072,T0086744,This issue is deeply personal for families across CA. I'll always listen first.,0.0
TC007214,C0072,T0103831,Washington elites think they know better than CA voters. I trust the people.,0.55
TC007215,C0072,T0094863,Visited the community health center in Fairview — grateful for the nurses and staff who keep it running.,0.0
TC007216,C0072,T0000055,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,0.6
TC007217,C0072,T0029178,We can be good stewards of the land without strangling CA's energy workers with mandates.,0.45
TC007218,C0072,T0001952,We can back the police AND demand accountability. Those aren't opposites.,-0.15
TC007219,C0072,T0083392,"School choice gives every CA family a shot at a great education, regardless of zip code.",0.7
TC007220,C0072,T0008037,We must balance the budget like every family in CA has to. No more blank checks.,0.55
TC007221,C0072,T0103120,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC007222,C0072,T0065987,Every family deserves a safe neighborhood. Law and order is on the ballot.,0.6
TC007223,C0072,T0036038,Met with local business owners in Cedar Falls today about what they need to grow and hire.,0.0
TC007224,C0072,T0016662,"New endorsement dropping tomorrow morning. Stay tuned, CA!",0.0
TC008500,C0085,T0049455,Honored to meet with veterans in Lakewood today. We owe them more than words.,0.0
TC008501,C0085,T0066534,Toured the new energy facility in Franklin today. CA workers are second to none.,0.0
TC008502,C0085,T0078368,Protecting our air and water isn't radical — poisoning them for profit is.,-0.65
TC008503,C0085,T0063258,BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,-0.6
TC008504,C0085,T0047052,"Immigrants power CA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system.",-0.55
TC008505,C0085,T0076081,Diplomacy first. Endless wars cost CA families dearly — in lives and in dollars.,-0.45
TC008506,C0085,T0038130,"Book bans don't protect kids. Librarians and teachers deserve our trust, not harassment.",-0.7
TC008507,C0085,T0049861,"The climate crisis is here — CA families are paying for it in floods, fires, and insurance bills. We need clean energy now.",-0.75
TC008508,C0085,T0083432,Knocking doors in Millbrook with an incredible team of volunteers today. The energy is real!,0.0
TC008509,C0085,T0030386,Diplomacy first. Endless wars cost CA families dearly — in lives and in dollars.,-0.45
TC008510,C0085,T0040528,Childcare costs are crushing parents in CA. My plan caps costs and invests in providers.,-0.5
TC008511,C0085,T0013937,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.,-0.45
TC008512,C0085,T0048668,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,0.0
TC008513,C0085,T0044077,This issue is deeply personal for families across CA. I'll always listen first.,0.0
TC008514,C0085,T0077613,Stopped by Georgetown Elementary today. Our teachers are heroes — period.,-0.15
TC008515,C0085,T0019430,Honored to meet with veterans in Oak Ridge today. We owe them more than words.,0.0
TC008516,C0085,T0045051,"Clean energy jobs are the future, and CA can lead. I'll fight for wind, solar, and battery manufacturing here at home.",-0.6
TC008517,C0085,T0036351,Debate night. Watch live at noon and see the contrast for yourself.,0.0
TC008518,C0085,T0096801,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,-0.6
TC008519,C0085,T0023282,"The climate crisis is here — CA families are paying for it in floods, fires, and insurance bills. We need clean energy now.",-0.7
TC008800,C0088,T0064698,"Illegal immigration drives down wages for CA workers. Enforce the law, protect American jobs.",0.7
TC008801,C0088,T0088222,We can protect people with pre-existing conditions without a big-government takeover of medicine.,0.4
TC008802,C0088,T0011044,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC008803,C0088,T0037701,"Every family in CA deserves access to quality, affordable care. Full stop.",-0.4
TC008804,C0088,T0017334,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time.",0.8
TC008805,C0088,T0092199,Toured the new energy facility in Cedar Falls today. CA workers are second to none.,0.0
TC008806,C0088,T0078243,Met with local business owners in Summit today about what they need to grow and hire.,0.0
TC008807,C0088,T0093566,Met with law enforcement and community leaders in Dover Plains about keeping our neighborhoods safe.,0.15
TC008808,C0088,T0089188,Democracy works when we show up. Check your registration today — link in bio.,-0.1
TC008809,C0088,T0033668,Good jobs and a fair shot — that's what this campaign is about for CA.,-0.1
TC008810,C0088,T0068691,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC008811,C0088,T0075583,Small businesses in CA are drowning in red tape. I'll cut job-killing regulations on day one.,0.65
TC008812,C0088,T0056989,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.,-0.4
TC008813,C0088,T0001051,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.,0.0
TC008814,C0088,T0038236,"Every family in CA deserves access to quality, affordable care. Full stop.",-0.4
TC008815,C0088,T0025374,Met with law enforcement and community leaders in Franklin about keeping our neighborhoods safe.,0.05
TC008816,C0088,T0069051,Sanctuary policies put CA communities at risk. I'll end them.,0.8
TC008817,C0088,T0099426,"Lower taxes, less government, more freedom. That's how we get CA's economy roaring again.",0.75
TC008818,C0088,T0072527,Price transparency and competition will lower costs faster than any government mandate.,0.55
TC008819,C0088,T0026320,We must balance the budget like every family in CA has to. No more blank checks.,0.55
TC008820,C0088,T0090871,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.,0.65
TC008821,C0088,T0035465,Washington elites think they know better than CA voters. I trust the people.,0.4
TC008900,C0089,T0044441,Honored to meet with veterans in Harrisburg today. We owe them more than words.,0.0
