candidate_id,tweetlevel_score,n_tweets
C0062,0.32799999999999996,25
C0072,0.276,25
C0085,-0.35750000000000004,20
C0088,0.22954545454545452,22
C0089,-0.304,25
C0111,-0.214,25
C0237,-0.212,25
C0256,-0.21842105263157896,19
C0258,0.165625,16
C0293,0.396,25
C0324,0.2909090909090909,11
C0327,0.28,25
C0333,-0.264,25
C0420,-0.228,25
C0489,-0.256,25
C0496,0.22399999999999998,25
C0504,-0.244,25
C0515,-0.25869565217391305,23
C0552,0.37,20
C0587,-0.102,25
C0597,0.00833333333333334,12
C0621,0.024,25
C0622,0.41600000000000004,25
C0742,-0.192,25
C0798,0.125,12
C0817,-0.218,25
C0853,-0.34600000000000003,25
C0872,0.15,25
C0882,-0.132,25
C0885,0.044000000000000004,25
