row_idx,tweet_id,half,theme_id
79245,T0079246,H1,0
54663,T0054664,H1,2
84219,T0084220,H1,15
39755,T0039756,H1,2
92897,T0092898,H1,5
94385,T0094386,H1,2
53926,T0053927,H1,5
91120,T0091121,H1,5
99485,T0099486,H1,0
83993,T0083994,H1,23
94312,T0094313,H1,8
57055,T0057056,H1,9
16050,T0016051,H1,2
89022,T0089023,H1,13
14576,T0014577,H1,4
14625,T0014626,H1,15
89457,T0089458,H1,4
40232,T0040233,H1,8
45578,T0045579,H1,4
48312,T0048313,H1,23
23054,T0023055,H1,15
102418,T0102419,H1,5
78818,T0078819,H1,23
100301,T0100302,H1,0
34814,T0034815,H1,3
100910,T0100911,H1,8
80624,T0080625,H1,16
92046,T0092047,H1,2
25833,T0025834,H1,15
43106,T0043107,H1,0
2231,T0002232,H1,5
86634,T0086635,H1,20
13856,T0013857,H1,2
53097,T0053098,H1,4
79161,T0079162,H1,0
22700,T0022701,H1,15
57960,T0057961,H1,0
23144,T0023145,H1,5
56550,T0056551,H1,21
79288,T0079289,H1,8
38336,T0038337,H1,4
83442,T0083443,H1,23
47310,T0047311,H1,14
84347,T0084348,H1,20
4625,T0004626,H1,19
60716,T0060717,H1,2
69130,T0069131,H1,1
60397,T0060398,H1,3
65044,T0065045,H1,1
100961,T0100962,H1,23
54463,T0054464,H1,16
78636,T0078637,H1,15
36283,T0036284,H1,15
32743,T0032744,H1,23
13127,T0013128,H1,12
85011,T0085012,H1,15
51496,T0051497,H1,2
40389,T0040390,H1,5
83410,T0083411,H1,5
38626,T0038627,H1,13
83841,T0083842,H1,11
34478,T0034479,H1,24
39381,T0039382,H1,9
91329,T0091330,H1,23
54013,T0054014,H1,3
5028,T0005029,H1,21
45897,T0045898,H1,15
72613,T0072614,H1,0
100940,T0100941,H1,0
94951,T0094952,H1,4
15690,T0015691,H1,13
50007,T0050008,H1,24
47809,T0047810,H1,4
12703,T0012704,H1,15
43707,T0043708,H1,8
63567,T0063568,H1,15
61284,T0061285,H1,4
68845,T0068846,H1,13
18649,T0018650,H1,17
30964,T0030965,H1,24
91921,T0091922,H1,23
1264,T0001265,H1,6
85983,T0085984,H1,1
60311,T0060312,H1,17
19986,T0019987,H1,23
83892,T0083893,H1,20
12733,T0012734,H1,23
81166,T0081167,H1,20
22136,T0022137,H1,8
37526,T0037527,H1,15
50554,T0050555,H1,8
53640,T0053641,H1,16
94627,T0094628,H1,16
22226,T0022227,H1,5
56843,T0056844,H1,20
63322,T0063323,H1,15
69555,T0069556,H1,2
82550,T0082551,H1,18
4328,T0004329,H1,23
41824,T0041825,H1,8
79932,T0079933,H1,18
25048,T0025049,H1,1
89661,T0089662,H1,2
15111,T0015112,H1,10
58435,T0058436,H1,0
58310,T0058311,H1,23
10775,T0010776,H1,24
4235,T0004236,H1,6
64217,T0064218,H1,20
73363,T0073364,H1,18
87759,T0087760,H1,8
46740,T0046741,H1,4
51323,T0051324,H1,21
72792,T0072793,H1,21
65409,T0065410,H1,1
32366,T0032367,H1,5
70537,T0070538,H1,15
33324,T0033325,H1,0
30822,T0030823,H1,1
80269,T0080270,H1,13
72924,T0072925,H1,21
60378,T0060379,H1,3
92329,T0092330,H1,2
51464,T0051465,H1,9
76786,T0076787,H1,20
48581,T0048582,H1,1
49051,T0049052,H1,9
70285,T0070286,H1,13
11546,T0011547,H1,23
91253,T0091254,H1,23
7395,T0007396,H1,1
14998,T0014999,H1,23
54977,T0054978,H1,9
81739,T0081740,H1,22
38341,T0038342,H1,5
91094,T0091095,H1,5
11649,T0011650,H1,13
1764,T0001765,H1,1
38208,T0038209,H1,10
60598,T0060599,H1,8
69611,T0069612,H1,15
24968,T0024969,H1,4
70611,T0070612,H1,13
16629,T0016630,H1,0
4917,T0004918,H1,15
64504,T0064505,H1,15
63321,T0063322,H1,23
37699,T0037700,H1,15
92804,T0092805,H1,13
33068,T0033069,H1,15
47969,T0047970,H1,15
87953,T0087954,H1,23
74318,T0074319,H1,8
78456,T0078457,H1,15
61402,T0061403,H1,9
19183,T0019184,H1,16
59219,T0059220,H1,5
103338,T0103339,H1,10
45140,T0045141,H1,4
48998,T0048999,H1,3
100252,T0100253,H1,13
42693,T0042694,H1,0
45555,T0045556,H1,0
87981,T0087982,H1,14
27482,T0027483,H1,0
68534,T0068535,H1,4
40286,T0040287,H1,10
76881,T0076882,H1,15
8760,T0008761,H1,16
22947,T0022948,H1,10
9107,T0009108,H1,21
88472,T0088473,H1,21
50465,T0050466,H1,15
99992,T0099993,H1,0
19833,T0019834,H1,0
98650,T0098651,H1,4
59389,T0059390,H1,15
12571,T0012572,H1,5
85154,T0085155,H1,0
81763,T0081764,H1,5
23942,T0023943,H1,15
103622,T0103623,H1,15
74092,T0074093,H1,20
72964,T0072965,H1,13
824,T0000825,H1,23
12725,T0012726,H1,0
102921,T0102922,H1,4
30236,T0030237,H1,13
97782,T0097783,H1,23
22271,T0022272,H1,8
41477,T0041478,H1,0
99792,T0099793,H1,16
32184,T0032185,H1,1
29559,T0029560,H1,3
62029,T0062030,H1,3
70729,T0070730,H1,22
46889,T0046890,H1,0
46587,T0046588,H1,0
87347,T0087348,H1,1
40312,T0040313,H1,2
34367,T0034368,H1,15
90892,T0090893,H1,23
27405,T0027406,H1,6
40126,T0040127,H1,5
63998,T0063999,H1,13
15631,T0015632,H1,23
85554,T0085555,H1,15
66998,T0066999,H1,15
87454,T0087455,H1,15
64112,T0064113,H1,0
14957,T0014958,H1,15
67531,T0067532,H1,15
58741,T0058742,H1,16
87645,T0087646,H1,22
980,T0000981,H1,23
35299,T0035300,H1,1
23397,T0023398,H1,8
25891,T0025892,H1,3
58657,T0058658,H1,15
84634,T0084635,H1,5
40169,T0040170,H1,5
81736,T0081737,H1,17
44969,T0044970,H1,3
50227,T0050228,H1,23
98770,T0098771,H1,15
104053,T0104054,H1,23
48977,T0048978,H1,20
17579,T0017580,H1,8
54426,T0054427,H1,1
85796,T0085797,H1,15
89027,T0089028,H1,5
100774,T0100775,H1,1
23911,T0023912,H1,22
39308,T0039309,H1,22
45679,T0045680,H1,2
6131,T0006132,H1,2
52882,T0052883,H1,2
1868,T0001869,H1,8
45178,T0045179,H1,20
56347,T0056348,H1,0
49464,T0049465,H1,9
102831,T0102832,H1,4
35797,T0035798,H1,8
51436,T0051437,H1,15
90201,T0090202,H1,0
83169,T0083170,H1,19
79197,T0079198,H1,20
32148,T0032149,H1,9
83567,T0083568,H1,10
44907,T0044908,H1,6
33984,T0033985,H1,21
47161,T0047162,H1,8
54844,T0054845,H1,2
94961,T0094962,H1,9
30701,T0030702,H1,16
75258,T0075259,H1,0
53424,T0053425,H1,15
59666,T0059667,H1,15
10527,T0010528,H1,21
10954,T0010955,H1,2
76136,T0076137,H1,8
60942,T0060943,H1,5
16420,T0016421,H1,9
68274,T0068275,H1,1
81787,T0081788,H1,7
77059,T0077060,H1,4
98894,T0098895,H1,4
15456,T0015457,H1,2
14685,T0014686,H1,4
90399,T0090400,H1,9
61501,T0061502,H1,4
86550,T0086551,H1,9
42192,T0042193,H1,23
5390,T0005391,H1,0
92135,T0092136,H1,14
11173,T0011174,H1,8
29637,T0029638,H1,15
30790,T0030791,H1,5
73980,T0073981,H1,5
77237,T0077238,H1,18
11319,T0011320,H1,4
57867,T0057868,H1,4
98994,T0098995,H1,4
100253,T0100254,H1,9
104157,T0104158,H1,20
63508,T0063509,H1,2
42769,T0042770,H1,2
44746,T0044747,H1,19
15024,T0015025,H1,20
90199,T0090200,H1,0
86231,T0086232,H1,1
74149,T0074150,H1,23
40949,T0040950,H1,18
81742,T0081743,H1,23
91347,T0091348,H1,2
14572,T0014573,H1,9
22655,T0022656,H1,2
85552,T0085553,H1,1
35451,T0035452,H1,20
103922,T0103923,H1,5
98044,T0098045,H1,5
87455,T0087456,H1,23
22236,T0022237,H1,2
53533,T0053534,H1,9
30914,T0030915,H1,8
76651,T0076652,H1,0
82342,T0082343,H1,5
26369,T0026370,H1,13
82198,T0082199,H1,0
5410,T0005411,H1,5
6312,T0006313,H1,9
17453,T0017454,H1,6
5316,T0005317,H1,16
47528,T0047529,H1,20
97410,T0097411,H1,6
42967,T0042968,H1,1
98360,T0098361,H1,2
55324,T0055325,H1,13
27419,T0027420,H1,4
831,T0000832,H1,18
41825,T0041826,H1,1
75724,T0075725,H1,4
46004,T0046005,H1,14
9613,T0009614,H1,15
42451,T0042452,H1,15
71668,T0071669,H1,9
52964,T0052965,H1,23
19034,T0019035,H1,24
102772,T0102773,H1,4
69510,T0069511,H1,8
87125,T0087126,H1,13
100140,T0100141,H1,8
22601,T0022602,H1,5
11485,T0011486,H1,23
59393,T0059394,H1,11
85704,T0085705,H1,15
448,T0000449,H1,5
99535,T0099536,H1,4
39230,T0039231,H1,13
3372,T0003373,H1,23
98324,T0098325,H1,16
56389,T0056390,H1,6
34825,T0034826,H1,0
37619,T0037620,H1,2
76182,T0076183,H1,1
61367,T0061368,H1,19
86949,T0086950,H1,15
17467,T0017468,H1,9
49731,T0049732,H1,15
96606,T0096607,H1,5
90587,T0090588,H1,23
1099,T0001100,H1,0
28307,T0028308,H1,0
74003,T0074004,H1,4
99574,T0099575,H1,4
91902,T0091903,H1,8
103543,T0103544,H1,13
99257,T0099258,H1,11
49720,T0049721,H1,8
32523,T0032524,H1,0
64149,T0064150,H1,4
61494,T0061495,H1,3
67686,T0067687,H1,10
40742,T0040743,H1,20
101700,T0101701,H1,0
4159,T0004160,H1,23
24467,T0024468,H1,15
71116,T0071117,H1,21
59477,T0059478,H1,5
46690,T0046691,H1,9
55344,T0055345,H1,12
82608,T0082609,H1,5
16173,T0016174,H1,11
83827,T0083828,H1,15
7920,T0007921,H1,14
65135,T0065136,H1,15
92499,T0092500,H1,13
89606,T0089607,H1,1
2173,T0002174,H1,0
54340,T0054341,H1,15
27812,T0027813,H1,2
35298,T0035299,H1,10
82850,T0082851,H1,16
24418,T0024419,H1,23
31416,T0031417,H1,8
13384,T0013385,H1,18
45503,T0045504,H1,6
8814,T0008815,H1,9
98447,T0098448,H1,22
98717,T0098718,H1,15
91614,T0091615,H1,0
90555,T0090556,H1,5
40796,T0040797,H1,9
177,T0000178,H1,5
26917,T0026918,H1,0
84890,T0084891,H1,24
7487,T0007488,H1,15
8861,T0008862,H1,1
46780,T0046781,H1,4
103451,T0103452,H1,23
29339,T0029340,H1,8
59246,T0059247,H1,15
69019,T0069020,H1,4
77951,T0077952,H1,23
51256,T0051257,H1,9
8103,T0008104,H1,4
28857,T0028858,H1,14
93073,T0093074,H1,0
22364,T0022365,H1,23
65950,T0065951,H1,23
15936,T0015937,H1,8
43589,T0043590,H1,11
31864,T0031865,H1,13
68365,T0068366,H1,13
41472,T0041473,H1,15
58456,T0058457,H1,15
63571,T0063572,H1,15
70380,T0070381,H1,0
46445,T0046446,H1,17
80924,T0080925,H1,5
89794,T0089795,H1,20
33625,T0033626,H1,21
40061,T0040062,H1,15
60382,T0060383,H1,4
54756,T0054757,H1,15
9010,T0009011,H1,11
70042,T0070043,H1,23
54255,T0054256,H1,3
61446,T0061447,H1,3
68352,T0068353,H1,11
25841,T0025842,H1,14
80967,T0080968,H1,0
21204,T0021205,H1,12
92670,T0092671,H1,0
13962,T0013963,H1,23
4796,T0004797,H1,23
83858,T0083859,H1,2
20728,T0020729,H1,4
71463,T0071464,H1,2
87058,T0087059,H1,13
59039,T0059040,H1,17
72439,T0072440,H1,18
26199,T0026200,H1,9
61138,T0061139,H1,16
101042,T0101043,H1,15
88513,T0088514,H1,0
57184,T0057185,H1,4
46658,T0046659,H1,0
49684,T0049685,H1,21
30439,T0030440,H1,4
18517,T0018518,H1,8
52209,T0052210,H1,15
4595,T0004596,H1,5
98332,T0098333,H1,13
66456,T0066457,H1,16
20932,T0020933,H1,12
59337,T0059338,H1,4
3087,T0003088,H1,15
20770,T0020771,H1,15
1908,T0001909,H1,15
14457,T0014458,H1,15
4348,T0004349,H1,6
58053,T0058054,H1,15
39024,T0039025,H1,21
88562,T0088563,H1,3
48883,T0048884,H1,15
93090,T0093091,H1,11
43359,T0043360,H1,20
9009,T0009010,H1,4
47220,T0047221,H1,9
86855,T0086856,H1,1
17991,T0017992,H1,12
84302,T0084303,H1,6
89480,T0089481,H1,16
77230,T0077231,H1,5
59176,T0059177,H1,13
92537,T0092538,H1,20
45435,T0045436,H1,3
67138,T0067139,H1,15
64555,T0064556,H1,15
17833,T0017834,H1,14
28460,T0028461,H1,9
15766,T0015767,H1,4
61622,T0061623,H1,23
47437,T0047438,H1,0
95816,T0095817,H1,4
72696,T0072697,H1,17
24443,T0024444,H1,18
53153,T0053154,H1,9
19782,T0019783,H1,23
65432,T0065433,H1,8
46496,T0046497,H1,18
82527,T0082528,H1,15
55230,T0055231,H1,15
73098,T0073099,H1,9
2013,T0002014,H1,13
94490,T0094491,H1,23
72433,T0072434,H1,1
21283,T0021284,H1,1
99321,T0099322,H1,4
773,T0000774,H1,5
3072,T0003073,H1,5
46711,T0046712,H1,16
43897,T0043898,H1,5
45395,T0045396,H1,12
47917,T0047918,H1,17
56597,T0056598,H1,4
87593,T0087594,H1,24
104454,T0104455,H1,0
45288,T0045289,H1,23
59939,T0059940,H1,8
67524,T0067525,H1,2
88876,T0088877,H1,0
52595,T0052596,H1,22
94761,T0094762,H1,16
100272,T0100273,H1,4
71622,T0071623,H1,23
76840,T0076841,H1,1
73481,T0073482,H1,5
75704,T0075705,H1,21
9215,T0009216,H1,5
56296,T0056297,H1,15
89909,T0089910,H1,0
28206,T0028207,H1,4
16955,T0016956,H1,18
75784,T0075785,H1,0
70217,T0070218,H1,15
27590,T0027591,H1,15
53897,T0053898,H1,13
91262,T0091263,H1,20
53222,T0053223,H1,21
49662,T0049663,H1,6
13767,T0013768,H1,18
92098,T0092099,H1,21
59941,T0059942,H1,5
22263,T0022264,H1,9
77689,T0077690,H1,4
83949,T0083950,H1,7
52663,T0052664,H1,8
60177,T0060178,H1,5
40171,T0040172,H1,6
55987,T0055988,H1,5
103993,T0103994,H1,8
5369,T0005370,H1,12
44136,T0044137,H1,17
77691,T0077692,H1,1
7532,T0007533,H1,8
34011,T0034012,H1,23
97500,T0097501,H1,4
61177,T0061178,H1,23
32272,T0032273,H1,9
23797,T0023798,H1,9
17902,T0017903,H1,15
57884,T0057885,H1,1
83813,T0083814,H1,4
53053,T0053054,H1,3
63872,T0063873,H1,15
25319,T0025320,H1,15
59549,T0059550,H1,20
7709,T0007710,H1,4
45286,T0045287,H1,0
30893,T0030894,H1,16
29918,T0029919,H1,19
73178,T0073179,H1,6
36438,T0036439,H1,20
49740,T0049741,H1,12
72382,T0072383,H1,5
27635,T0027636,H1,4
32564,T0032565,H1,3
15825,T0015826,H1,18
31516,T0031517,H1,0
12127,T0012128,H1,15
35538,T0035539,H1,20
72279,T0072280,H1,4
71995,T0071996,H1,9
43073,T0043074,H1,13
45532,T0045533,H1,15
33383,T0033384,H1,18
73949,T0073950,H1,15
18817,T0018818,H1,10
51358,T0051359,H1,2
22895,T0022896,H1,5
59137,T0059138,H1,0
34824,T0034825,H1,4
30148,T0030149,H1,4
60154,T0060155,H1,15
16715,T0016716,H1,20
57856,T0057857,H1,8
21186,T0021187,H1,12
88296,T0088297,H1,15
70418,T0070419,H1,4
91726,T0091727,H1,0
35839,T0035840,H1,15
79189,T0079190,H1,3
20925,T0020926,H1,4
49596,T0049597,H1,0
34499,T0034500,H1,6
67496,T0067497,H1,8
15616,T0015617,H1,7
81385,T0081386,H1,4
6900,T0006901,H1,21
88170,T0088171,H1,18
82236,T0082237,H1,0
90179,T0090180,H1,18
8870,T0008871,H1,8
72745,T0072746,H1,3
80334,T0080335,H1,12
60214,T0060215,H1,3
18818,T0018819,H1,20
60299,T0060300,H1,3
83107,T0083108,H1,13
76122,T0076123,H1,13
51084,T0051085,H1,4
74583,T0074584,H1,23
42398,T0042399,H1,20
5049,T0005050,H1,11
27568,T0027569,H1,0
19407,T0019408,H1,19
87229,T0087230,H1,8
88917,T0088918,H1,15
7507,T0007508,H1,4
62251,T0062252,H1,21
42302,T0042303,H1,20
89225,T0089226,H1,20
82743,T0082744,H1,0
81993,T0081994,H1,15
78775,T0078776,H1,4
103706,T0103707,H1,21
15902,T0015903,H1,3
89306,T0089307,H1,21
33263,T0033264,H1,15
56837,T0056838,H1,9
70277,T0070278,H1,3
97308,T0097309,H1,15
83231,T0083232,H1,5
76694,T0076695,H1,11
103557,T0103558,H1,5
24475,T0024476,H1,20
81613,T0081614,H1,11
66840,T0066841,H1,0
90324,T0090325,H1,8
81257,T0081258,H1,23
88593,T0088594,H1,15
64915,T0064916,H1,4
20851,T0020852,H1,1
11115,T0011116,H1,18
29263,T0029264,H1,15
18736,T0018737,H1,15
96740,T0096741,H1,20
14552,T0014553,H1,22
92074,T0092075,H1,1
54342,T0054343,H1,15
100006,T0100007,H1,4
67365,T0067366,H1,4
87164,T0087165,H1,15
20297,T0020298,H1,0
104154,T0104155,H1,21
76949,T0076950,H1,3
60500,T0060501,H1,8
59884,T0059885,H1,4
60293,T0060294,H1,0
53526,T0053527,H1,4
28505,T0028506,H1,0
61580,T0061581,H1,4
64316,T0064317,H1,8
76667,T0076668,H1,11
27177,T0027178,H1,5
80233,T0080234,H1,8
77172,T0077173,H1,13
103639,T0103640,H1,23
58723,T0058724,H1,4
58353,T0058354,H1,6
98597,T0098598,H1,15
67811,T0067812,H1,11
30037,T0030038,H1,5
82791,T0082792,H1,4
32039,T0032040,H1,18
25156,T0025157,H1,5
65169,T0065170,H1,23
45027,T0045028,H1,21
79113,T0079114,H1,2
4540,T0004541,H1,9
22667,T0022668,H1,5
68920,T0068921,H1,1
35319,T0035320,H1,15
51654,T0051655,H1,5
2735,T0002736,H1,0
87859,T0087860,H1,1
54624,T0054625,H1,2
57862,T0057863,H1,8
33081,T0033082,H1,4
81065,T0081066,H1,12
82043,T0082044,H1,0
32009,T0032010,H1,2
57422,T0057423,H1,17
54657,T0054658,H1,8
48201,T0048202,H1,8
