bundle_id,candidate_id,rep,condition,n_tweets,small_bundle,tweet_ids
M1C0004,C0004,1,main,25,False,T0045880|T0064383|T0077084|T0000815|T0103169|T0070016|T0007934|T0043494|T0048157|T0022738|T0051672|T0005710|T0014741|T0075791|T0020563|T0028158|T0087761|T0012970|T0021232|T0038173|T0038718|T0019226|T0048343|T0059192|T0052182
M1C0005,C0005,1,main,25,False,T0067640|T0097372|T0041039|T0063325|T0002144|T0054235|T0014304|T0098107|T0067839|T0025407|T0053635|T0027686|T0076449|T0034309|T0077215|T0070818|T0018284|T0062833|T0057378|T0055475|T0032803|T0025484|T0038576|T0007888|T0046755
M1C0006,C0006,1,main,25,False,T0100535|T0012837|T0006975|T0046464|T0025065|T0010797|T0087887|T0023781|T0080511|T0050275|T0078470|T0042731|T0078679|T0003450|T0041328|T0096308|T0017438|T0058499|T0063645|T0015535|T0030332|T0005806|T0052511|T0088273|T0017465
M1C0010,C0010,1,main,25,False,T0078633|T0003840|T0021470|T0009137|T0070136|T0078400|T0045219|T0079324|T0029043|T0045061|T0064517|T0096003|T0074943|T0074903|T0093305|T0060114|T0012789|T0081355|T0010280|T0061546|T0078532|T0081056|T0080835|T0078017|T0044363
M1C0011,C0011,1,main,25,False,T0019089|T0035633|T0062367|T0059727|T0062609|T0028746|T0092963|T0054127|T0094425|T0079672|T0076795|T0001781|T0018898|T0022761|T0033038|T0080875|T0085821|T0100815|T0063971|T0063432|T0064735|T0096562|T0020044|T0031250|T0024200
M1C0017,C0017,1,main,25,False,T0069619|T0071789|T0083803|T0019577|T0043134|T0086789|T0096009|T0075675|T0089263|T0089886|T0096590|T0104262|T0001652|T0037655|T0007324|T0007391|T0031199|T0101270|T0054024|T0097472|T0015002|T0091804|T0009701|T0067869|T0017199
M1C0040,C0040,1,main,25,False,T0038385|T0073823|T0094717|T0015396|T0040798|T0000884|T0031956|T0098973|T0006150|T0080920|T0019315|T0055046|T0101040|T0092490|T0034096|T0084053|T0099038|T0095512|T0095009|T0026382|T0079838|T0028075|T0001169|T0079344|T0064606
M1C0043,C0043,1,main,25,False,T0078059|T0068798|T0014847|T0007963|T0067121|T0011600|T0097006|T0000302|T0025300|T0087716|T0101029|T0098156|T0013768|T0087419|T0004113|T0043694|T0026400|T0073016|T0078497|T0081392|T0037457|T0003324|T0018357|T0044172|T0031476
M1C0046,C0046,1,main,25,False,T0023896|T0100379|T0072309|T0040652|T0090024|T0029645|T0025979|T0091240|T0018579|T0006735|T0034711|T0006764|T0044100|T0034102|T0032035|T0060080|T0100476|T0033454|T0077777|T0085135|T0045576|T0074685|T0096955|T0062709|T0051650
M1C0049,C0049,1,main,25,False,T0052983|T0103298|T0067410|T0093888|T0021976|T0098357|T0090500|T0023530|T0055781|T0033684|T0021526|T0001643|T0096041|T0030743|T0082865|T0084064|T0021737|T0044675|T0065350|T0016051|T0010506|T0029322|T0014527|T0024612|T0098789
M1C0050,C0050,1,main,25,False,T0060564|T0079232|T0050621|T0009215|T0085297|T0061483|T0007313|T0050962|T0026773|T0073867|T0091342|T0069003|T0057644|T0062485|T0040392|T0067236|T0060713|T0104309|T0099047|T0010543|T0039820|T0038594|T0039875|T0060384|T0088001
M1C0062,C0062,1,main,25,False,T0074436|T0056741|T0058997|T0087553|T0027287|T0033450|T0095823|T0070834|T0019101|T0010168|T0086310|T0079739|T0044242|T0053019|T0100222|T0060353|T0022887|T0061396|T0006250|T0051792|T0074551|T0077786|T0064655|T0057583|T0091941
