item_id,candidate_id,tweet_id,text
TC006200,C0062,T0074436,Turnout in this week's primaries beat 2018 levels in most counties.
TC006201,C0062,T0056741,Good jobs and a fair shot — that's what this campaign is about for CA.
TC006202,C0062,T0058997,"Happy Fourth of July from our family to yours, CA!"
TC006203,C0062,T0087553,Sanctuary policies put CA communities at risk. I'll end them.
TC006204,C0062,T0027287,Sanctuary policies put CA communities at risk. I'll end them.
TC006205,C0062,T0033450,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.
TC006206,C0062,T0095823,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC006207,C0062,T0070834,"Phone bank tonight at 7pm! Grab a coffee and join us — training provided, no experience needed."
TC006208,C0062,T0019101,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.
TC006209,C0062,T0010168,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.
TC006210,C0062,T0086310,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.
TC006211,C0062,T0079739,"Illegal immigration drives down wages for CA workers. Enforce the law, protect American jobs."
TC006212,C0062,T0044242,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.
TC006213,C0062,T0053019,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC006214,C0062,T0100222,Inflation is a tax on every family. Washington's reckless spending has to stop.
TC006215,C0062,T0060353,Border crossings surge again — where is the accountability?
TC006216,C0062,T0022887,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC006217,C0062,T0061396,Join us Saturday at 10am for a town hall in Millbrook! Doors open early — bring your questions.
TC006218,C0062,T0006250,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.
TC006219,C0062,T0051792,Debate night. Watch live at 7pm and see the contrast for yourself.
TC006220,C0062,T0074551,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC006221,C0062,T0077786,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC006222,C0062,T0064655,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC006223,C0062,T0057583,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.
TC006224,C0062,T0091941,Turnout in this week's primaries beat 2018 levels in most counties.
TC007200,C0072,T0025090,Met with local business owners in Georgetown today about what they need to grow and hire.
TC007201,C0072,T0074641,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.
TC007202,C0072,T0081157,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.
TC007203,C0072,T0041155,Toured the new energy facility in Dover Plains today. CA workers are second to none.
TC007204,C0072,T0079307,I am proudly pro-life and will always defend the unborn.
TC007205,C0072,T0006454,Peace through strength. A strong military is the best guarantee our enemies stay in check.
TC007206,C0072,T0103014,Border crossings surge again — where is the accountability?
TC007207,C0072,T0075585,Rode along with Harrisburg officers last night. Grateful for what they do every shift.
TC007208,C0072,T0048227,I am proudly pro-life and will always defend the unborn.
TC007209,C0072,T0072226,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC007210,C0072,T0083781,Turnout in this week's primaries beat 2018 levels in most counties.
TC007211,C0072,T0009850,Democracy works when we show up. Check your registration today — link in bio.
TC007212,C0072,T0089528,Stopped by Riverton Elementary today. Our teachers are heroes — period.
TC007213,C0072,T0086744,This issue is deeply personal for families across CA. I'll always listen first.
TC007214,C0072,T0103831,Washington elites think they know better than CA voters. I trust the people.
TC007215,C0072,T0094863,Visited the community health center in Fairview — grateful for the nurses and staff who keep it running.
TC007216,C0072,T0000055,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.
TC007217,C0072,T0029178,We can be good stewards of the land without strangling CA's energy workers with mandates.
TC007218,C0072,T0001952,We can back the police AND demand accountability. Those aren't opposites.
TC007219,C0072,T0083392,"School choice gives every CA family a shot at a great education, regardless of zip code."
TC007220,C0072,T0008037,We must balance the budget like every family in CA has to. No more blank checks.
TC007221,C0072,T0103120,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC007222,C0072,T0065987,Every family deserves a safe neighborhood. Law and order is on the ballot.
TC007223,C0072,T0036038,Met with local business owners in Cedar Falls today about what they need to grow and hire.
TC007224,C0072,T0016662,"New endorsement dropping tomorrow morning. Stay tuned, CA!"
TC008500,C0085,T0049455,Honored to meet with veterans in Lakewood today. We owe them more than words.
TC008501,C0085,T0066534,Toured the new energy facility in Franklin today. CA workers are second to none.
TC008502,C0085,T0078368,Protecting our air and water isn't radical — poisoning them for profit is.
TC008503,C0085,T0063258,BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.
TC008504,C0085,T0047052,"Immigrants power CA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system."
TC008505,C0085,T0076081,Diplomacy first. Endless wars cost CA families dearly — in lives and in dollars.
TC008506,C0085,T0038130,"Book bans don't protect kids. Librarians and teachers deserve our trust, not harassment."
TC008507,C0085,T0049861,"The climate crisis is here — CA families are paying for it in floods, fires, and insurance bills. We need clean energy now."
TC008508,C0085,T0083432,Knocking doors in Millbrook with an incredible team of volunteers today. The energy is real!
TC008509,C0085,T0030386,Diplomacy first. Endless wars cost CA families dearly — in lives and in dollars.
